,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1080,1440,-1,
1,2,1,1,0,0,0,0,0,1080,176,-1,
2,3,1,1,1,0,0,0,0,1080,176,-1,
3,4,1,1,1,1,0,0,0,1080,176,-1,
4,5,1,1,1,1,1,0,0,1080,176,95,  
5,2,1,2,0,0,0,0,100,357,888,-1,
6,3,1,2,1,0,0,0,100,357,888,-1,
7,4,1,2,1,1,0,0,100,357,51,-1,
8,5,1,2,1,1,1,0,100,357,51,95, 
9,4,1,2,1,2,0,0,151,178,25,-1,
10,5,1,2,1,2,1,0,151,178,25,95, 
11,4,1,2,1,3,0,0,176,178,72,-1,
12,5,1,2,1,3,1,0,176,178,72,95,   
13,4,1,2,1,4,0,0,248,178,45,-1,
14,5,1,2,1,4,1,0,248,178,45,95,  
15,4,1,2,1,5,0,0,293,178,59,-1,
16,5,1,2,1,5,1,0,293,178,59,95,   
17,4,1,2,1,6,0,0,352,178,25,-1,
18,5,1,2,1,6,1,0,352,178,25,95,  
19,4,1,2,1,7,0,0,377,178,40,-1,
20,5,1,2,1,7,1,0,377,178,40,95, 
21,4,1,2,1,8,0,0,417,178,44,-1,
22,5,1,2,1,8,1,0,417,178,44,95,  
23,4,1,2,1,9,0,0,461,178,25,-1,
24,5,1,2,1,9,1,0,461,178,25,95,  
25,4,1,2,1,10,0,0,486,178,32,-1,
26,5,1,2,1,10,1,0,486,178,32,95,  
27,4,1,2,1,11,0,0,602,178,60,-1,
28,5,1,2,1,11,1,0,602,178,60,95,   
29,4,1,2,1,12,0,0,662,178,48,-1,
30,5,1,2,1,12,1,0,662,178,48,95,   
31,4,1,2,1,13,0,0,723,178,56,-1,
32,5,1,2,1,13,1,0,723,178,56,95,  
33,4,1,2,1,14,0,0,779,178,23,-1,
34,5,1,2,1,14,1,0,779,178,23,95, 
35,4,1,2,1,15,0,0,802,178,26,-1,
36,5,1,2,1,15,1,0,802,178,26,95, 
37,4,1,2,1,16,0,0,828,178,18,-1,
38,5,1,2,1,16,1,0,828,178,18,95, 
39,4,1,2,1,17,0,0,846,178,49,-1,
40,5,1,2,1,17,1,0,846,178,49,95, 
41,4,1,2,1,18,0,0,895,178,27,-1,
42,5,1,2,1,18,1,0,895,178,27,95, 
43,4,1,2,1,19,0,0,922,178,66,-1,
44,5,1,2,1,19,1,0,922,178,66,95,  
45,2,1,3,0,0,0,25,1218,237,20,-1,
46,3,1,3,1,0,0,25,1218,237,20,-1,
47,4,1,3,1,1,0,25,1218,237,20,-1,
48,5,1,3,1,1,1,25,1218,237,20,95,  
49,2,1,4,0,0,0,345,115,281,46,-1,
50,3,1,4,1,0,0,345,115,281,46,-1,
51,4,1,4,1,1,0,345,115,281,46,-1,
52,5,1,4,1,1,1,345,115,113,32,92,Gordies
53,5,1,4,1,1,2,472,122,154,39,92,Krusbärspaj
54,2,1,5,0,0,0,348,161,150,78,-1,
55,3,1,5,1,0,0,353,161,145,60,-1,
56,4,1,5,1,1,0,354,161,138,21,-1,
57,5,1,5,1,1,1,354,161,29,14,96,Det
58,5,1,5,1,1,2,392,162,28,15,96,här
59,5,1,5,1,1,3,427,165,65,17,83,behövs
60,4,1,5,1,2,0,355,181,143,21,-1,
61,5,1,5,1,2,1,355,181,24,13,95,1/2
62,5,1,5,1,2,2,388,182,33,14,95,liter
63,5,1,5,1,2,3,429,184,69,18,96,krusbär
64,4,1,5,1,3,0,353,202,121,19,-1,
65,5,1,5,1,3,1,353,202,37,13,84,11/2
66,5,1,5,1,3,2,397,203,15,13,95,dl
67,5,1,5,1,3,3,420,208,54,13,96,russin
68,3,1,5,2,0,0,348,220,102,19,-1,
69,4,1,5,2,1,0,348,220,102,19,-1,
70,5,1,5,2,1,1,348,220,10,13,96,2
71,5,1,5,2,1,2,366,221,14,13,96,dl
72,5,1,5,2,1,3,388,224,62,15,96,socker
73,2,1,6,0,0,0,340,241,170,124,-1,
74,3,1,6,1,0,0,345,241,163,42,-1,
75,4,1,6,1,1,0,346,241,162,30,-1,
76,5,1,6,1,1,1,346,241,10,13,94,2
77,5,1,6,1,1,2,364,243,37,14,95,msk
78,5,1,6,1,1,3,401,243,107,28,69,potatismjöl
79,4,1,6,1,2,0,345,263,80,20,-1,
80,5,1,6,1,2,1,345,263,80,20,88,smuldeg
81,3,1,6,2,0,0,344,283,166,43,-1,
82,4,1,6,2,1,0,346,283,164,25,-1,
83,5,1,6,2,1,1,346,283,38,14,93,11/2
84,5,1,6,2,1,2,392,284,15,14,84,dl
85,5,1,6,2,1,3,416,286,94,22,96,havregryn
86,4,1,6,2,2,0,344,303,116,23,-1,
87,5,1,6,2,2,1,344,304,4,11,93,1
